CommUnits
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
"cove",,,"024-SALT","Residential","us",,,,,,11/30/2014,"24 Salt Landing",,,,"Tiburon","CA","94920",3070.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"024-SEAD","Residential","us",,,,,,08/04/2016,"24 Seadrift Landing",,,,"Tiburon","CA","94920",3095.00,595.000000,1,0,"1x1-a",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"025-BARB","Residential","us",,,,,,05/15/2015,"25 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,1,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"025-CHAN","Residential","us",,,,,,09/28/2015,"25 Channel Landing",,,,"Tiburon","CA","94920",6300.00,1375.000000,1,0,"3x3-a",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"025-GNWD","Residential","us",,,,,,08/29/2014,"25 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4330.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"025-SALT","Residential","us",,,,,,06/30/2016,"25 Salt Landing",,,,"Tiburon","CA","94920",3225.00,640.000000,1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"025-SEAD","Residential","us",,,,,,03/13/2015,"25 Seadrift Landing",,,,"Tiburon","CA","94920",3300.00,640.000000,1,0,"1x1-c",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"026-BARB","Residential","us",,,,,09/11/2016,09/11/2016,"26 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,0,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"026-GNWD","Residential","us",,,,,,06/30/2016,"26 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4280.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"026-SALT","Residential","us",,,,,,12/05/2014,"26 Salt Landing",,,,"Tiburon","CA","94920",4555.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"026-SEAD","Residential","us",,,,,,02/24/2016,"26 Seadrift Landing",,,,"Tiburon","CA","94920",4405.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"027-BARB","Residential","us",,,,,,08/26/2016,"27 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,0,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"027-GNWD","Residential","us",,,,,,08/29/2014,"27 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4280.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"027-SALT","Residential","us",,,,,,12/05/2014,"27 Salt Landing",,,,"Tiburon","CA","94920",4505.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"027-SEAD","Residential","us",,,,,,03/13/2015,"27 Seadrift Landing",,,,"Tiburon","CA","94920",4230.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,"Shawn and his wife are interested in transferring to 131 Barbaree in August- RA"
"cove",,,"027-SEAD","Residential","us",,,,,,03/13/2015,"27 Seadrift Landing",,,,"Tiburon","CA","94920",4230.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"028-BARB","Residential","us",,,,,,10/27/2014,"28 Barbaree Way",,,,"Tiburon","CA","94920",3405.00,660.000000,1,0,"1x1-d",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"028-GNWD","Residential","us",,,,,,05/01/2016,"28 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4280.00,1275.000000,0,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"028-SALT","Residential","us",,,,,,12/05/2014,"28 Salt Landing",,,,"Tiburon","CA","94920",4505.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"028-SEAD","Residential","us",,,,,,08/13/2016,"28 Seadrift Landing",,,,"Tiburon","CA","94920",4230.00,1140.000000,0,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"029-BARB","Residential","us",,,,,,10/19/2015,"29 Barbaree Way",,,,"Tiburon","CA","94920",3545.00,700.000000,1,0,"1x1-e",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"029-GNWD","Residential","us",,,,,,04/16/2014,"29 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4280.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"029-SALT","Residential","us",,,,,,04/14/2016,"29 Salt Landing",,,,"Tiburon","CA","94920",4555.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,"left message for Joanna regarding the lease break fee"
"cove",,,"029-SALT","Residential","us",,,,,,04/14/2016,"29 Salt Landing",,,,"Tiburon","CA","94920",4555.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
